points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
65,00:01:46,00:01:46,00:01:41,00:01:41,00:01:36,00:01:36,00:01:31,00:01:31,00:01:26,00:01:26,00:01:26,00:01:26,00:01:26,00:01:26,00:01:26,00:01:26,00:01:26,00:01:26,00:01:26,00:01:26
64,00:01:43,00:01:43,00:01:38,00:01:38,00:01:33,00:01:33,00:01:28,00:01:28,00:01:23,00:01:23,00:01:23,00:01:23,00:01:23,00:01:23,00:01:23,00:01:23,00:01:23,00:01:23,00:01:23,00:01:23
63,00:01:40,00:01:40,00:01:35,00:01:35,00:01:30,00:01:30,00:01:25,00:01:25,00:01:20,00:01:20,00:01:20,00:01:20,00:01:20,00:01:20,00:01:20,00:01:20,00:01:20,00:01:20,00:01:20,00:01:20
62,00:01:37,00:01:37,00:01:32,00:01:32,00:01:26,00:01:26,00:01:22,00:01:22,00:01:16,00:01:16,00:01:16,00:01:16,00:01:16,00:01:16,00:01:16,00:01:16,00:01:16,00:01:16,00:01:16,00:01:16
61,00:01:33,00:01:33,00:01:28,00:01:28,00:01:23,00:01:23,00:01:18,00:01:18,00:01:13,00:01:13,00:01:13,00:01:13,00:01:13,00:01:13,00:01:13,00:01:13,00:01:13,00:01:13,00:01:13,00:01:13
60,00:01:30,00:01:30,00:01:25,00:01:25,00:01:20,00:01:20,00:01:15,00:01:15,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10
60,00:01:30,00:01:30,00:01:25,00:01:25,00:01:20,00:01:20,00:01:15,00:01:15,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10,00:01:10
59,,,,,,,,,,,,,,,,,,,,
58,00:01:29,00:01:29,00:01:24,00:01:24,00:01:19,00:01:19,00:01:14,00:01:14,00:01:09,00:01:09,00:01:09,00:01:09,00:01:09,00:01:09,00:01:09,00:01:09,00:01:09,00:01:09,00:01:09,00:01:09
57,,,,,,,,,,,,,,,,,,,,
