points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
52,22:15,23:37,22:15,23:30,22:15,23:28,22:15,23:34,22:26,23:38,22:47,23:57,23:10,24:15,23:35,24:39,23:51,25:03,23:51,25:15
51,22:17,23:39,22:17,23:32,22:17,23:30,22:17,23:36,22:28,23:40,22:49,23:59,23:12,24:17,23:37,24:41,23:53,25:05,23:53,25:17
50,22:19,23:41,22:19,23:34,22:19,23:32,22:19,23:38,22:30,23:42,22:51,24:01,23:14,24:19,23:39,24:43,23:55,25:07,23:55,25:19
49,22:21,23:43,22:21,23:36,22:21,23:34,22:21,23:40,22:32,23:44,22:53,24:03,23:16,24:21,23:41,24:45,23:57,25:09,23:57,25:21
48,22:23,23:45,22:23,23:38,22:23,23:36,22:23,23:42,22:34,23:46,22:55,24:05,23:18,24:23,23:43,24:47,23:59,25:11,23:59,25:23
47,22:25,23:47,22:25,23:40,22:25,23:38,22:25,23:44,22:36,23:48,22:57,24:07,23:20,24:25,23:45,24:49,24:01,25:13,24:01,25:25
46,22:27,23:49,22:27,23:42,22:27,23:40,22:27,23:46,22:38,23:50,22:59,24:09,23:22,24:27,23:47,24:51,24:03,25:15,24:03,25:27
45,22:29,23:51,22:29,23:44,22:29,23:42,22:29,23:48,22:40,23:52,23:01,24:11,23:24,24:29,23:49,24:53,24:05,25:17,24:05,25:29
44,22:31,23:53,22:31,23:46,22:31,23:44,22:31,23:50,22:42,23:54,23:03,24:13,23:26,24:31,23:51,24:55,24:07,25:19,24:07,25:31
43,22:33,23:55,22:33,23:48,22:33,23:46,22:33,23:52,22:44,23:56,23:05,24:15,23:28,24:33,23:53,24:57,24:09,25:21,24:09,25:33
42,22:35,23:57,22:35,23:50,22:35,23:48,22:35,23:54,22:46,23:58,23:07,24:17,23:30,24:35,23:55,24:59,24:11,25:23,24:11,25:35
41,22:37,23:59,22:37,23:52,22:37,23:50,22:37,23:56,22:48,24:00,23:09,24:19,23:32,24:37,23:57,25:01,24:13,25:25,24:13,25:37
40,22:39,24:01,22:39,23:54,22:39,23:52,22:39,23:58,22:50,24:02,23:11,24:21,23:34,24:39,23:59,25:03,24:15,25:27,24:15,25:39
39,22:41,24:03,22:41,23:56,22:41,23:54,22:41,24:00,22:52,24:04,23:13,24:23,23:36,24:41,24:01,25:05,24:17,25:29,24:17,25:41
38,22:43,24:05,22:43,23:58,22:43,23:56,22:43,24:02,22:54,24:06,23:15,24:25,23:38,24:43,24:03,25:07,24:19,25:31,24:19,25:43
37,22:45,24:07,22:45,24:00,22:45,23:58,22:45,24:04,22:56,24:08,23:17,24:27,23:40,24:45,24:05,25:09,24:21,25:33,24:21,25:45
36,22:47,24:09,22:47,24:02,22:47,24:00,22:47,24:06,22:58,24:10,23:19,24:29,23:42,24:47,24:07,25:11,24:23,25:35,24:23,25:47
35,22:49,24:11,22:49,24:04,22:49,24:02,22:49,24:08,23:00,24:12,23:21,24:31,23:44,24:49,24:09,25:13,24:25,25:37,24:25,25:49
34,22:51,24:13,22:51,24:06,22:51,24:04,22:51,24:10,23:02,24:14,23:23,24:33,23:46,24:51,24:11,25:15,24:27,25:39,24:27,25:51
33,22:53,24:15,22:53,24:08,22:53,24:06,22:53,24:12,23:04,24:16,23:25,24:35,23:48,24:53,24:13,25:17,24:29,25:41,24:29,25:53
32,22:55,24:17,22:55,24:10,22:55,24:08,22:55,24:14,23:06,24:18,23:27,24:37,23:50,24:55,24:15,25:19,24:31,25:43,24:31,25:55
31,22:57,24:19,22:57,24:12,22:57,24:10,22:57,24:16,23:08,24:20,23:29,24:39,23:52,24:57,24:17,25:21,24:33,25:45,24:33,25:57
30,22:59,24:21,22:59,24:14,22:59,24:12,22:59,24:18,23:10,24:22,23:31,24:41,23:54,24:59,24:19,25:23,24:35,25:47,24:35,25:59
29,23:02,24:24,23:02,24:17,23:02,24:15,23:02,24:21,23:13,24:25,23:34,24:44,23:57,25:02,24:22,25:26,24:38,25:50,24:38,26:02
28,23:04,24:26,23:04,24:19,23:04,24:17,23:04,24:23,23:15,24:27,23:36,24:46,23:59,25:04,24:24,25:28,24:40,25:52,24:40,26:04
27,23:06,24:28,23:06,24:21,23:06,24:19,23:06,24:25,23:17,24:29,23:38,24:48,24:01,25:06,24:26,25:30,24:42,25:54,24:42,26:06
26,23:08,24:30,23:08,24:23,23:08,24:21,23:08,24:27,23:19,24:31,23:40,24:50,24:03,25:08,24:28,25:32,24:44,25:56,24:44,26:08
25,23:10,24:32,23:10,24:25,23:10,24:23,23:10,24:29,23:21,24:33,23:42,24:52,24:05,25:10,24:30,25:34,24:46,25:58,24:46,26:10
24,23:12,24:34,23:12,24:27,23:12,24:25,23:12,24:31,23:23,24:35,23:44,24:54,24:07,25:12,24:32,25:36,24:48,26:00,24:48,26:12
23,23:14,24:36,23:14,24:29,23:14,24:27,23:14,24:33,23:25,24:37,23:46,24:56,24:09,25:14,24:34,25:38,24:50,26:02,24:50,26:14
22,23:16,24:38,23:16,24:31,23:16,24:29,23:16,24:35,23:27,24:39,23:48,24:58,24:11,25:16,24:36,25:40,24:52,26:04,24:52,26:16
21,23:18,24:40,23:18,24:33,23:18,24:31,23:18,24:37,23:29,24:41,23:50,25:00,24:13,25:18,24:38,25:42,24:54,26:06,24:54,26:18
20,23:20,24:42,23:20,24:35,23:20,24:33,23:20,24:39,23:31,24:43,23:52,25:02,24:15,25:20,24:40,25:44,24:56,26:08,24:56,26:20
19,23:22,24:44,23:22,24:37,23:22,24:35,23:22,24:41,23:33,24:45,23:54,25:04,24:17,25:22,24:42,25:46,24:58,26:10,24:58,26:22
18,23:24,24:46,23:24,24:39,23:24,24:37,23:24,24:43,23:35,24:47,23:56,25:06,24:19,25:24,24:44,25:48,25:00,26:12,25:00,26:24
17,23:26,24:48,23:26,24:41,23:26,24:39,23:26,24:45,23:37,24:49,23:58,25:08,24:21,25:26,24:46,25:50,25:02,26:14,25:02,26:26
16,23:28,24:50,23:28,24:43,23:28,24:41,23:28,24:47,23:39,24:51,24:00,25:10,24:23,25:28,24:48,25:52,25:04,26:16,25:04,26:28
15,23:30,24:52,23:30,24:45,23:30,24:43,23:30,24:49,23:41,24:53,24:02,25:12,24:25,25:30,24:50,25:54,25:06,26:18,25:06,26:30
14,23:32,24:54,23:32,24:47,23:32,24:45,23:32,24:51,23:43,24:55,24:04,25:14,24:27,25:32,24:52,25:56,25:08,26:20,25:08,26:32
13,23:34,24:56,23:34,24:49,23:34,24:47,23:34,24:53,23:45,24:57,24:06,25:16,24:29,25:34,24:54,25:58,25:10,26:22,25:10,26:34
12,23:36,24:58,23:36,24:51,23:36,24:49,23:36,24:55,23:47,24:59,24:08,25:18,24:31,25:36,24:56,26:00,25:12,26:24,25:12,26:36
11,23:38,25:00,23:38,24:53,23:38,24:51,23:38,24:57,23:49,25:01,24:10,25:20,24:33,25:38,24:58,26:02,25:14,26:26,25:14,26:38
10,23:40,25:02,23:40,24:55,23:40,24:53,23:40,24:59,23:51,25:03,24:12,25:22,24:35,25:40,25:00,26:04,25:16,26:28,25:16,26:40
9,23:42,25:04,23:42,24:57,23:42,24:55,23:42,25:01,23:53,25:05,24:14,25:24,24:37,25:42,25:02,26:06,25:18,26:30,25:18,26:42
8,23:44,25:06,23:44,24:59,23:44,24:57,23:44,25:03,23:55,25:07,24:16,25:26,24:39,25:44,25:04,26:08,25:20,26:32,25:20,26:44
7,23:46,25:08,23:46,25:01,23:46,24:59,23:46,25:05,23:57,25:09,24:18,25:28,24:41,25:46,25:06,26:10,25:22,26:34,25:22,26:46
6,23:48,25:10,23:48,25:03,23:48,25:01,23:48,25:07,23:59,25:11,24:20,25:30,24:43,25:48,25:08,26:12,25:24,26:36,25:24,26:48
5,23:50,25:12,23:50,25:05,23:50,25:03,23:50,25:09,24:01,25:13,24:22,25:32,24:45,25:50,25:10,26:14,25:26,26:38,25:26,26:50
4,23:52,25:14,23:52,25:07,23:52,25:05,23:52,25:11,24:03,25:15,24:24,25:34,24:47,25:52,25:12,26:16,25:28,26:40,25:28,26:52
3,23:54,25:16,23:54,25:09,23:54,25:07,23:54,25:13,24:05,25:17,24:26,25:36,24:49,25:54,25:14,26:18,25:30,26:42,25:30,26:54
2,23:56,25:18,23:56,25:11,23:56,25:09,23:56,25:15,24:07,25:19,24:28,25:38,24:51,25:56,25:16,26:20,25:32,26:44,25:32,26:56
1,23:58,25:20,23:58,25:13,23:58,25:11,23:58,25:17,24:09,25:21,24:30,25:40,24:53,25:58,25:18,26:22,25:34,26:46,25:34,26:58
0,24:00,25:22,24:00,25:15,24:00,25:13,24:00,25:19,24:11,25:23,24:32,25:42,24:55,26:00,25:20,26:24,25:36,26:48,25:36,27:00
