points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
56,00:02:32,00:03:19,00:02:35,00:03:19,00:02:36,00:03:19,00:02:40,00:03:26,00:02:45,00:03:31,00:02:49,00:03:46,00:02:57,00:03:55,00:03:04,00:04:07,00:03:16,00:04:52,00:03:20,00:04:52
55,00:02:33,00:03:20,00:02:36,00:03:20,00:02:37,00:03:20,00:02:41,00:03:27,00:02:46,00:03:32,00:02:50,00:03:47,00:02:58,00:03:56,00:03:05,00:04:08,00:03:17,00:04:53,00:03:21,00:04:53
54,00:02:34,00:03:21,00:02:37,00:03:21,00:02:38,00:03:21,00:02:42,00:03:28,00:02:47,00:03:33,00:02:51,00:03:48,00:02:59,00:03:57,00:03:06,00:04:09,00:03:18,00:04:54,00:03:22,00:04:54
53,00:02:35,00:03:22,00:02:38,00:03:22,00:02:39,00:03:22,00:02:43,00:03:29,00:02:48,00:03:34,00:02:52,00:03:49,00:03:00,00:03:58,00:03:07,00:04:10,00:03:19,00:04:55,00:03:23,00:04:55
52,00:02:36,00:03:23,00:02:39,00:03:23,00:02:40,00:03:23,00:02:44,00:03:30,00:02:49,00:03:35,00:02:53,00:03:50,00:03:01,00:03:59,00:03:08,00:04:11,00:03:20,00:04:56,00:03:24,00:04:56
51,00:02:37,00:03:24,00:02:40,00:03:24,00:02:41,00:03:24,00:02:45,00:03:31,00:02:50,00:03:36,00:02:54,00:03:51,00:03:02,00:04:00,00:03:09,00:04:12,00:03:21,00:04:57,00:03:25,00:04:57
50,00:02:38,00:03:25,00:02:41,00:03:25,00:02:42,00:03:25,00:02:46,00:03:32,00:02:51,00:03:37,00:02:55,00:03:52,00:03:03,00:04:01,00:03:10,00:04:13,00:03:22,00:04:58,00:03:26,00:04:58
49,00:02:39,00:03:26,00:02:42,00:03:26,00:02:43,00:03:26,00:02:47,00:03:33,00:02:52,00:03:38,00:02:56,00:03:53,00:03:04,00:04:02,00:03:11,00:04:14,00:03:23,00:04:59,00:03:27,00:04:59
48,00:02:40,00:03:27,00:02:43,00:03:27,00:02:44,00:03:27,00:02:48,00:03:34,00:02:53,00:03:39,00:02:57,00:03:54,00:03:05,00:04:03,00:03:12,00:04:15,00:03:24,00:05:00,00:03:28,00:05:00
47,00:02:41,00:03:28,00:02:44,00:03:28,00:02:45,00:03:28,00:02:49,00:03:35,00:02:54,00:03:40,00:02:58,00:03:55,00:03:06,00:04:04,00:03:13,00:04:16,00:03:25,00:05:01,00:03:29,00:05:01
46,00:02:42,00:03:29,00:02:45,00:03:29,00:02:46,00:03:29,00:02:50,00:03:36,00:02:55,00:03:41,00:02:59,00:03:56,00:03:07,00:04:05,00:03:14,00:04:17,00:03:26,00:05:02,00:03:30,00:05:02
45,00:02:43,00:03:30,00:02:46,00:03:30,00:02:47,00:03:30,00:02:51,00:03:37,00:02:56,00:03:42,00:03:00,00:03:57,00:03:08,00:04:06,00:03:15,00:04:18,00:03:27,00:05:03,00:03:31,00:05:03
44,00:02:44,00:03:31,00:02:47,00:03:31,00:02:48,00:03:31,00:02:52,00:03:38,00:02:57,00:03:43,00:03:01,00:03:58,00:03:09,00:04:07,00:03:16,00:04:19,00:03:28,00:05:04,00:03:32,00:05:04
43,00:02:45,00:03:32,00:02:48,00:03:32,00:02:49,00:03:32,00:02:53,00:03:39,00:02:58,00:03:44,00:03:02,00:03:59,00:03:10,00:04:08,00:03:17,00:04:20,00:03:29,00:05:05,00:03:33,00:05:05
42,00:02:46,00:03:33,00:02:49,00:03:33,00:02:50,00:03:33,00:02:54,00:03:40,00:02:59,00:03:45,00:03:03,00:04:00,00:03:11,00:04:09,00:03:18,00:04:21,00:03:30,00:05:06,00:03:34,00:05:06
41,00:02:47,00:03:34,00:02:50,00:03:34,00:02:51,00:03:34,00:02:55,00:03:41,00:03:00,00:03:46,00:03:04,00:04:01,00:03:12,00:04:10,00:03:19,00:04:22,00:03:31,00:05:07,00:03:35,00:05:07
40,00:02:48,00:03:35,00:02:51,00:03:35,00:02:52,00:03:35,00:02:56,00:03:42,00:03:01,00:03:47,00:03:05,00:04:02,00:03:13,00:04:11,00:03:20,00:04:23,00:03:32,00:05:08,00:03:36,00:05:08
39,00:02:49,00:03:36,00:02:52,00:03:36,00:02:53,00:03:36,00:02:57,00:03:43,00:03:02,00:03:48,00:03:06,00:04:03,00:03:14,00:04:12,00:03:21,00:04:24,00:03:33,00:05:09,00:03:37,00:05:09
38,00:02:50,00:03:37,00:02:53,00:03:37,00:02:54,00:03:37,00:02:58,00:03:44,00:03:03,00:03:49,00:03:07,00:04:04,00:03:15,00:04:13,00:03:22,00:04:25,00:03:34,00:05:10,00:03:38,00:05:10
37,00:02:51,00:03:38,00:02:54,00:03:38,00:02:55,00:03:38,00:02:59,00:03:45,00:03:04,00:03:50,00:03:08,00:04:05,00:03:16,00:04:14,00:03:23,00:04:26,00:03:35,00:05:11,00:03:39,00:05:11
36,00:02:52,00:03:39,00:02:55,00:03:39,00:02:56,00:03:39,00:03:00,00:03:46,00:03:05,00:03:51,00:03:09,00:04:06,00:03:17,00:04:15,00:03:24,00:04:27,00:03:36,00:05:12,00:03:40,00:05:12
35,00:02:53,00:03:40,00:02:56,00:03:40,00:02:57,00:03:40,00:03:01,00:03:47,00:03:06,00:03:52,00:03:10,00:04:07,00:03:18,00:04:16,00:03:25,00:04:28,00:03:37,00:05:13,00:03:41,00:05:13
34,00:02:54,00:03:41,00:02:57,00:03:41,00:02:58,00:03:41,00:03:02,00:03:48,00:03:07,00:03:53,00:03:11,00:04:08,00:03:19,00:04:17,00:03:26,00:04:29,00:03:38,00:05:14,00:03:42,00:05:14
33,00:02:55,00:03:42,00:02:58,00:03:42,00:02:59,00:03:42,00:03:03,00:03:49,00:03:08,00:03:54,00:03:12,00:04:09,00:03:20,00:04:18,00:03:27,00:04:30,00:03:39,00:05:15,00:03:43,00:05:15
32,00:02:56,00:03:43,00:02:59,00:03:43,00:03:00,00:03:43,00:03:04,00:03:50,00:03:09,00:03:55,00:03:13,00:04:10,00:03:21,00:04:19,00:03:28,00:04:31,00:03:40,00:05:16,00:03:44,00:05:16
31,00:02:57,00:03:44,00:03:00,00:03:44,00:03:01,00:03:44,00:03:05,00:03:51,00:03:10,00:03:56,00:03:14,00:04:11,00:03:22,00:04:20,00:03:29,00:04:32,00:03:41,00:05:17,00:03:45,00:05:17
30,00:02:58,00:03:45,00:03:01,00:03:45,00:03:02,00:03:45,00:03:06,00:03:52,00:03:11,00:03:57,00:03:15,00:04:12,00:03:23,00:04:21,00:03:30,00:04:33,00:03:42,00:05:18,00:03:46,00:05:18
29,00:02:59,00:03:46,00:03:02,00:03:46,00:03:03,00:03:46,00:03:07,00:03:53,00:03:12,00:03:58,00:03:16,00:04:13,00:03:24,00:04:22,00:03:31,00:04:34,00:03:43,00:05:19,00:03:47,00:05:19
28,00:03:00,00:03:47,00:03:03,00:03:47,00:03:04,00:03:47,00:03:08,00:03:54,00:03:13,00:03:59,00:03:17,00:04:14,00:03:25,00:04:23,00:03:32,00:04:35,00:03:44,00:05:20,00:03:48,00:05:20
27,00:03:01,00:03:48,00:03:04,00:03:48,00:03:05,00:03:48,00:03:09,00:03:55,00:03:14,00:04:00,00:03:18,00:04:15,00:03:26,00:04:24,00:03:33,00:04:36,00:03:45,00:05:21,00:03:49,00:05:21
26,00:03:02,00:03:49,00:03:05,00:03:49,00:03:06,00:03:49,00:03:10,00:03:56,00:03:15,00:04:01,00:03:19,00:04:16,00:03:27,00:04:25,00:03:34,00:04:37,00:03:46,00:05:22,00:03:50,00:05:22
25,00:03:03,00:03:50,00:03:06,00:03:50,00:03:07,00:03:50,00:03:11,00:03:57,00:03:16,00:04:02,00:03:20,00:04:17,00:03:28,00:04:26,00:03:35,00:04:38,00:03:47,00:05:23,00:03:51,00:05:23
24,00:03:04,00:03:51,00:03:07,00:03:51,00:03:08,00:03:51,00:03:12,00:03:58,00:03:17,00:04:03,00:03:21,00:04:18,00:03:29,00:04:27,00:03:36,00:04:39,00:03:48,00:05:24,00:03:52,00:05:24
23,00:03:05,00:03:52,00:03:08,00:03:52,00:03:09,00:03:52,00:03:13,00:03:59,00:03:18,00:04:04,00:03:22,00:04:19,00:03:30,00:04:28,00:03:37,00:04:40,00:03:49,00:05:25,00:03:53,00:05:25
22,00:03:06,00:03:53,00:03:09,00:03:53,00:03:10,00:03:53,00:03:14,00:04:00,00:03:19,00:04:05,00:03:23,00:04:20,00:03:31,00:04:29,00:03:38,00:04:41,00:03:50,00:05:26,00:03:54,00:05:26
21,00:03:07,00:03:54,00:03:10,00:03:54,00:03:11,00:03:54,00:03:15,00:04:01,00:03:20,00:04:06,00:03:24,00:04:21,00:03:32,00:04:30,00:03:39,00:04:42,00:03:51,00:05:27,00:03:55,00:05:27
20,00:03:08,00:03:55,00:03:11,00:03:55,00:03:12,00:03:55,00:03:16,00:04:02,00:03:21,00:04:07,00:03:25,00:04:22,00:03:33,00:04:31,00:03:40,00:04:43,00:03:52,00:05:28,00:03:56,00:05:28
19,00:03:09,00:03:56,00:03:12,00:03:56,00:03:13,00:03:56,00:03:17,00:04:03,00:03:22,00:04:08,00:03:26,00:04:23,00:03:34,00:04:32,00:03:41,00:04:44,00:03:53,00:05:29,00:03:57,00:05:29
18,00:03:10,00:03:57,00:03:13,00:03:57,00:03:14,00:03:57,00:03:18,00:04:04,00:03:23,00:04:09,00:03:27,00:04:24,00:03:35,00:04:33,00:03:42,00:04:45,00:03:54,00:05:30,00:03:58,00:05:30
17,00:03:11,00:03:58,00:03:14,00:03:58,00:03:15,00:03:58,00:03:19,00:04:05,00:03:24,00:04:10,00:03:28,00:04:25,00:03:36,00:04:34,00:03:43,00:04:46,00:03:55,00:05:31,00:03:59,00:05:31
16,00:03:12,00:03:59,00:03:15,00:03:59,00:03:16,00:03:59,00:03:20,00:04:06,00:03:25,00:04:11,00:03:29,00:04:26,00:03:37,00:04:35,00:03:44,00:04:47,00:03:56,00:05:32,00:04:00,00:05:32
15,00:03:13,00:04:00,00:03:16,00:04:00,00:03:17,00:04:00,00:03:21,00:04:07,00:03:26,00:04:12,00:03:30,00:04:27,00:03:38,00:04:36,00:03:45,00:04:48,00:03:57,00:05:33,00:04:01,00:05:33
14,00:03:14,00:04:01,00:03:17,00:04:01,00:03:18,00:04:01,00:03:22,00:04:08,00:03:27,00:04:13,00:03:31,00:04:28,00:03:39,00:04:37,00:03:46,00:04:49,00:03:58,00:05:34,00:04:02,00:05:34
13,00:03:15,00:04:02,00:03:18,00:04:02,00:03:19,00:04:02,00:03:23,00:04:09,00:03:28,00:04:14,00:03:32,00:04:29,00:03:40,00:04:38,00:03:47,00:04:50,00:03:59,00:05:35,00:04:03,00:05:35
12,00:03:16,00:04:03,00:03:19,00:04:03,00:03:20,00:04:03,00:03:24,00:04:10,00:03:29,00:04:15,00:03:33,00:04:30,00:03:41,00:04:39,00:03:48,00:04:51,00:04:00,00:05:36,00:04:04,00:05:36
11,00:03:17,00:04:04,00:03:20,00:04:04,00:03:21,00:04:04,00:03:25,00:04:11,00:03:30,00:04:16,00:03:34,00:04:31,00:03:42,00:04:40,00:03:49,00:04:52,00:04:01,00:05:37,00:04:05,00:05:37
10,00:03:18,00:04:05,00:03:21,00:04:05,00:03:22,00:04:05,00:03:26,00:04:12,00:03:31,00:04:17,00:03:35,00:04:32,00:03:43,00:04:41,00:03:50,00:04:53,00:04:02,00:05:38,00:04:06,00:05:38
9,00:03:19,00:04:06,00:03:22,00:04:06,00:03:23,00:04:06,00:03:27,00:04:13,00:03:32,00:04:18,00:03:36,00:04:33,00:03:44,00:04:42,00:03:51,00:04:54,00:04:03,00:05:39,00:04:07,00:05:39
8,00:03:20,00:04:07,00:03:23,00:04:07,00:03:24,00:04:07,00:03:28,00:04:14,00:03:33,00:04:19,00:03:37,00:04:34,00:03:45,00:04:43,00:03:52,00:04:55,00:04:04,00:05:40,00:04:08,00:05:40
7,00:03:21,00:04:08,00:03:24,00:04:08,00:03:25,00:04:08,00:03:29,00:04:15,00:03:34,00:04:20,00:03:38,00:04:35,00:03:46,00:04:44,00:03:53,00:04:56,00:04:05,00:05:41,00:04:09,00:05:41
6,00:03:22,00:04:09,00:03:25,00:04:09,00:03:26,00:04:09,00:03:30,00:04:16,00:03:35,00:04:21,00:03:39,00:04:36,00:03:47,00:04:45,00:03:54,00:04:57,00:04:06,00:05:42,00:04:10,00:05:42
5,00:03:23,00:04:10,00:03:26,00:04:10,00:03:27,00:04:10,00:03:31,00:04:17,00:03:36,00:04:22,00:03:40,00:04:37,00:03:48,00:04:46,00:03:55,00:04:58,00:04:07,00:05:43,00:04:11,00:05:43
4,00:03:24,00:04:11,00:03:27,00:04:11,00:03:28,00:04:11,00:03:32,00:04:18,00:03:37,00:04:23,00:03:41,00:04:38,00:03:49,00:04:47,00:03:56,00:04:59,00:04:08,00:05:44,00:04:12,00:05:44
3,00:03:25,00:04:12,00:03:28,00:04:12,00:03:29,00:04:12,00:03:33,00:04:19,00:03:38,00:04:24,00:03:42,00:04:39,00:03:50,00:04:48,00:03:57,00:05:00,00:04:09,00:05:45,00:04:13,00:05:45
2,00:03:26,00:04:13,00:03:29,00:04:13,00:03:30,00:04:13,00:03:34,00:04:20,00:03:39,00:04:25,00:03:43,00:04:40,00:03:51,00:04:49,00:03:58,00:05:01,00:04:10,00:05:46,00:04:14,00:05:46
1,00:03:27,00:04:14,00:03:30,00:04:14,00:03:31,00:04:14,00:03:35,00:04:21,00:03:40,00:04:26,00:03:44,00:04:41,00:03:52,00:04:50,00:03:59,00:05:02,00:04:11,00:05:47,00:04:15,00:05:47
0,00:03:28,00:04:15,00:03:31,00:04:15,00:03:32,00:04:15,00:03:36,00:04:22,00:03:41,00:04:27,00:03:45,00:04:42,00:03:53,00:04:51,00:04:00,00:05:03,00:04:12,00:05:48,00:04:16,00:05:48
